원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	보기	작업데이터	OX작업번호	OX작업
슈퍼스타 감사용'의 감독은(는) 누구인가요?	슈퍼스타 감사용'의 감독은(는) 김종현 (영화인)(이)에요.	슈퍼스타 감사용의 감독의 이름은 무엇인가요?	슈퍼스타 감사용을 제작한 김독의 이름은 김종현(영화인)이예요.	김종현 (영화인)	감독	슈퍼스타 감사용	슈퍼스타 감사용'의 감독은(는) 김종현 (영화인)(이)에요.	슈퍼스타 감사용을 제작한 김독의 이름은 김종현(영화인)이예요.	116	"O,O,O"
"로봇, 소리'의 감독은(는) 누구인가요?"	"로봇, 소리'의 감독은(는) 이호재(이)에요."	"로봇,소리를 만든 사람은 누구인가요?"	"로봇,소리를 만든 사람은 이호재에요."	이호재	감독	"로봇, 소리"	"로봇, 소리'의 감독은(는) 누구인가요?"	"로봇,소리를 만든 사람은 누구인가요?"	573	"O,O,O"
토끼를 태운 잠수함'의 감독은(는) 누구인가요?	토끼를 태운 잠수함'의 감독은(는) 김한성(이)에요.	토끼를 태운 잠수함은 누가 만들었어요?	토끼를 태운 잠수함은 김한성이 만들었어요.	김한성	감독	토끼를 태운 잠수함	토끼를 태운 잠수함'의 감독은(는) 김한성(이)에요.	토끼를 태운 잠수함은 김한성이 만들었어요.	134	"O,O,O"
산책 (영화)'의 감독은(는) 누구인가요?	산책 (영화)'의 감독은(는) 이정국(이)에요.	산책이라는 제목의 영화를 만든 감독은 누구인가요?	산책이라는 제목의 영화를 만든 감독은 이정국이에요.	이정국	감독	산책 (영화)	산책 (영화)'의 감독은(는) 누구인가요?	산책이라는 제목의 영화를 만든 감독은 누구인가요?	547	"O,O,O"
외계에서 온 우뢰매'의 감독은(는) 누구인가요?	외계에서 온 우뢰매'의 감독은(는) 김청기(이)에요.	'외계에서 온 우뢰매'는 어떤 사람의 작품인가요?	'외계에서 온 우뢰매'를 만든 감독은 김청기라는 사람이에요.	김청기	감독	외계에서 온 우뢰매	외계에서 온 우뢰매'의 감독은(는) 누구인가요?	'외계에서 온 우뢰매'는 어떤 사람의 작품인가요?	125	"A,O,O"
링크 (2011년 영화)'의 감독은(는) 누구인가요?	링크 (2011년 영화)'의 감독은(는) 우디 한(이)에요.	링크 2011년 영화는 누가 만들었나요?	링크 2011년 영화를 만든 사람은 우디 한이에요.	우디 한	감독	링크 (2011년 영화)	링크 (2011년 영화)'의 감독은(는) 우디 한(이)에요.	링크 2011년 영화를 만든 사람은 우디 한이에요.	438	"O,A,O"
도둑맞곤 못살아'의 감독은(는) 누구인가요?	도둑맞곤 못살아'의 감독은(는) 임경수(이)에요.	도둑맞곤 못살아'를 총괄하고 책임진 사람은 누구인가요?	도둑맞곤 못살아'를 총괄하고 책임진 사람은 임경수에요.	임경수	감독	도둑맞곤 못살아	도둑맞곤 못살아'의 감독은(는) 임경수(이)에요.	도둑맞곤 못살아'를 총괄하고 책임진 사람은 임경수에요.	580	"X,O,O"
특근 (2016년 영화)'의 감독은(는) 누구인가요?	특근 (2016년 영화)'의 감독은(는) 김건(이)에요.	특근(2016년 영화)을 총 감독한 사람은 누구인가요?	특근(2016년 영화)을 총 감독한 사람은 김건이에요.	김건	감독	특근 (2016년 영화)	특근 (2016년 영화)'의 감독은(는) 누구인가요?	특근(2016년 영화)을 총 감독한 사람은 누구인가요?	45	"O,O,O"
잃어버린 너'의 감독은(는) 누구인가요?	잃어버린 너'의 감독은(는) 원정수(이)에요.	잃어버린 너는 어느 감독이 만들었나요?	원정수 감독이 잃어버린 너를 만들었어요.	원정수	감독	잃어버린 너	잃어버린 너'의 감독은(는) 누구인가요?	잃어버린 너는 어느 감독이 만들었나요?	443	"O,O,O"
미스터 콘돔'의 감독은(는) 누구인가요?	미스터 콘돔'의 감독은(는) 양윤호(이)에요.	미스터 콘돔의 감독을 담당한 사람은 누구인가요?	미스터 콘돔은 양윤호가 감독을 맡았어요.	양윤호	감독	미스터 콘돔	미스터 콘돔'의 감독은(는) 누구인가요?	미스터 콘돔의 감독을 담당한 사람은 누구인가요?	403	"O,O,O"
복수는 내게 맡겨라'의 감독은(는) 누구인가요?	복수는 내게 맡겨라'의 감독은(는) 설태호(이)에요.	복수는 내게 맡겨라 라는 영화는 누가 만들었나요?	설태호 감독이 복수는 내게 맡겨라를 만들었어요.	설태호	감독	복수는 내게 맡겨라	복수는 내게 맡겨라'의 감독은(는) 누구인가요?	복수는 내게 맡겨라 라는 영화는 누가 만들었나요?	321	"O,O,O"
캡틴 아메리카: 윈터 솔져'의 감독은(는) 누구인가요?	캡틴 아메리카: 윈터 솔져'의 감독은(는) 앤서니 루소(이)에요.	Captain America: The Winter Soldier를 제작한 감독은 누구에요?	캡틴 아메리카: 윈터 솔져를 제작한 감독은 앤서니 루소에요.	앤서니 루소	감독	캡틴 아메리카: 윈터 솔져	캡틴 아메리카: 윈터 솔져'의 감독은(는) 앤서니 루소(이)에요.	캡틴 아메리카: 윈터 솔져를 제작한 감독은 앤서니 루소에요.	400	"O,O,O"
여기보다 어딘가에 (2008년 영화)'의 감독은(는) 누구인가요?	여기보다 어딘가에 (2008년 영화)'의 감독은(는) 김상만(이)에요.	여기보다 어딘가에 2008년 영화는 누가 만들었나요?	여기보다 어딘가에 2008년 영화는 김상만이 만들었어요.	김상만	감독	여기보다 어딘가에 (2008년 영화)	여기보다 어딘가에 (2008년 영화)'의 감독은(는) 김상만(이)에요.	여기보다 어딘가에 2008년 영화는 김상만이 만들었어요.	82	"O,O,O"
사랑하기 좋은 날 (영화)'의 감독은(는) 누구인가요?	사랑하기 좋은 날 (영화)'의 감독은(는) 권칠인(이)에요.	영화 사랑하기 좋은날의 감독은 누구인가요?	영화 사랑하기 좋은 날의 감독은 권칠인이에요.	권칠인	감독	사랑하기 좋은 날 (영화)	사랑하기 좋은 날 (영화)'의 감독은(는) 누구인가요?	영화 사랑하기 좋은날의 감독은 누구인가요?	39	"O,O,O"
오스트레일리아 (영화)'의 감독은(는) 누구인가요?	오스트레일리아 (영화)'의 감독은(는) 배즈 루어먼(이)에요.	오스트레일리아(영화)의 감독은 누가 했나요?	오스트레일리아 (영화)에서 감독을 한 사람은 배즈 루어먼이에요.	배즈 루어먼	감독	오스트레일리아 (영화)	오스트레일리아 (영화)'의 감독은(는) 배즈 루어먼(이)에요.	오스트레일리아 (영화)에서 감독을 한 사람은 배즈 루어먼이에요.	306	"O,O,O"
설행 눈길을 걷다'의 감독은(는) 누구인가요?	설행 눈길을 걷다'의 감독은(는) 김희정(이)에요.	설행 눈길을 걷다를 만든 감독의 이름은 무엇인가요?	설행 눈길을 걷다를 만든 감독의 이름은 김희정이에요.	김희정	감독	설행 눈길을 걷다	설행 눈길을 걷다'의 감독은(는) 김희정(이)에요.	설행 눈길을 걷다를 만든 감독의 이름은 김희정이에요.	150	"O,O,O"
로맨스 조'의 감독은(는) 누구인가요?	로맨스 조'의 감독은(는) 이광국(이)에요.	영화 로맨스 조의 감독님의 성함은 무엇인가요?	로맨스 조의 감독님 성함은 이광국이에요	이광국	감독	로맨스 조	로맨스 조'의 감독은(는) 누구인가요?	영화 로맨스 조의 감독님의 성함은 무엇인가요?	475	"O,O,O"
'암살게임'의 감독은(는) 누구인가요?	암살게임'의 감독은(는) 어니 바바라쉬(이)에요.	암살게임 감독이 누군지 알면 알려주시지요	암살게임의 감독은 어니 바바라쉬라지요	어니 바바라쉬	감독	암살게임	암살게임'의 감독은(는) 어니 바바라쉬(이)에요.	암살게임의 감독은 어니 바바라쉬라지요	408	"O,O,O"
똑바로 살아라 (1997년 영화)'의 감독은(는) 누구인가요?	똑바로 살아라 (1997년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	똑바로 살아라 (1997년 영화)'는 누가 만들었나요?	똑바로 살아라 (1997년 영화)'의 연출가는 이상우에요.	이상우 (영화 감독)	감독	똑바로 살아라 (1997년 영화)	똑바로 살아라 (1997년 영화)'의 감독은(는) 누구인가요?	똑바로 살아라 (1997년 영화)'는 누가 만들었나요?	497	"O,O,O"
"DMZ, 비무장지대'의 감독은(는) 누구인가요?"	"DMZ, 비무장지대'의 감독은(는) 이규형(이)에요."	"DMZ, 비무장지대의 감독을 맡은 사람은 누구인가요?"	"DMZ,비무장지대의 감독을 맡은 사람은 이규형이에요"	이규형	감독	"DMZ, 비무장지대"	"DMZ, 비무장지대'의 감독은(는) 이규형(이)에요."	"DMZ,비무장지대의 감독을 맡은 사람은 이규형이에요"	482	"O,O,O"
'공즉시색'의 감독은(는) 누구인가요?	'공즉시색'의 감독은(는) 김현빈(이)에요.	누가 공즉시색의 감독인가요?	공즉시색은 김현빈이 감독했어요.	김현빈	감독	공즉시색	'공즉시색'의 감독은(는) 누구인가요?	누가 공즉시색의 감독인가요?	143	"O,X,O"
수목장 (영화)'의 감독은(는) 누구인가요?	수목장 (영화)'의 감독은(는) 박광춘(이)에요.	수목장 (영화)를 지휘하며 촬영한 사람은 누구인가요?	수목장 (영화)를 지휘하며 촬영한 사람은 박광춘이에요.	박광춘	감독	수목장 (영화)	수목장 (영화)'의 감독은(는) 박광춘(이)에요.	수목장 (영화)를 지휘하며 촬영한 사람은 박광춘이에요.	242	"X,O,O"
비밀은 없다'의 감독은(는) 누구인가요?	비밀은 없다'의 감독은(는) 이경미(이)에요.	비밀은 없다는 어느 감독의 영화인가요?	이경미 감독의 영화는 비밀은 없다 예요.	이경미	감독	비밀은 없다	비밀은 없다'의 감독은(는) 누구인가요?	비밀은 없다는 어느 감독의 영화인가요?	467	"O,O,O"
대학촌의 달빛'의 감독은(는) 누구인가요?	대학촌의 달빛'의 감독은(는) 노세한(이)에요.	대학촌의 달빛의 제작을 총괄하신분은 누구인가요?	대학촌의 달빛을 총괄한 분은 노세한이에요.	노세한	감독	대학촌의 달빛	대학촌의 달빛'의 감독은(는) 노세한(이)에요.	대학촌의 달빛을 총괄한 분은 노세한이에요.	180	"A,O,O"
반짝반짝 두근두근'의 감독은(는) 누구인가요?	반짝반짝 두근두근'의 감독은(는) 김태균(이)에요.	이 영화 반짝반짝 두근두근을 제작한 사람은 누구인가요?	반짝반짝 두근두근을 제작한 사람은 김태균이에요.	김태균	감독	반짝반짝 두근두근	반짝반짝 두근두근'의 감독은(는) 누구인가요?	이 영화 반짝반짝 두근두근을 제작한 사람은 누구인가요?	131	"A,O,O"
처녀의 성'의 감독은(는) 누구인가요?	처녀의 성'의 감독은(는) 문여송(이)에요.	처녀의 성을 만든 사람은 누구인가요?	처녀의 성을 만든 사람은 문여송이에요.	문여송	감독	처녀의 성	처녀의 성'의 감독은(는) 누구인가요?	처녀의 성을 만든 사람은 누구인가요?	223	"O,O,O"
환생 (2006년 영화)'의 감독은(는) 누구인가요?	환생 (2006년 영화)'의 감독은(는) 시미즈 다카시 (영화 감독)(이)에요.	환생(2006년 영화)'를 감독한 사람은 누구였나요?	시미즈 다카시(영화 감독)는 환생(2006년 영화)'을 감독했어요.	시미즈 다카시 (영화 감독)	감독	환생 (2006년 영화)	환생 (2006년 영화)'의 감독은(는) 시미즈 다카시 (영화 감독)(이)에요.	시미즈 다카시(영화 감독)는 환생(2006년 영화)'을 감독했어요.	328	"O,O,O"
비열한 거리 (2006년 영화)'의 감독은(는) 누구인가요?	비열한 거리 (2006년 영화)'의 감독은(는) 유하(이)에요.	비열한 거리(2006년 영화)를 만든 감독은 누구인가요?	비열한 거리(2006년 영화)를 만든 사람은 유하(이)에요.	유하	감독	비열한 거리 (2006년 영화)	비열한 거리 (2006년 영화)'의 감독은(는) 누구인가요?	비열한 거리(2006년 영화)를 만든 감독은 누구인가요?	445	"O,O,O"
'자귀모'의 감독은(는) 누구인가요?	자귀모'의 감독은(는) 이광훈 (1959년)(이)에요.	자귀모를 만든 사람은 누구인가요?	자귀모를 만든 사람은 이광훈 감독이에요.	이광훈 (1959년)	감독	자귀모	자귀모'의 감독은(는) 이광훈 (1959년)(이)에요.	자귀모를 만든 사람은 이광훈 감독이에요.	478	"O,O,O"
와일드 카드 (2003년 영화)'의 감독은(는) 누구인가요?	와일드 카드 (2003년 영화)'의 감독은(는) 김유진 (배우)(이)에요.	누가 와일드 카드(2003년 영화)를 총 지휘했나요?	김유진(배우)이 와일드 카드(2003년 영화)를 총 지휘했어요.	김유진 (배우)	감독	와일드 카드 (2003년 영화)	와일드 카드 (2003년 영화)'의 감독은(는) 누구인가요?	누가 와일드 카드(2003년 영화)를 총 지휘했나요?	97	"A,O,O"
미스 김'의 감독은(는) 누구인가요?	미스 김'의 감독은(는) 박호태(이)에요.	미스 김'을 감독한 사람이 누구예요?	박호태 감독이 미스 김'을 감독했어요.	박호태	감독	미스 김	미스 김'의 감독은(는) 누구인가요?	미스 김'을 감독한 사람이 누구예요?	291	"O,O,O"
'여인파티'의 감독은(는) 누구인가요?	'여인파티'의 감독은(는) 서윤모(이)에요.	여인파티는 어느 감독의 작품인가요?	서윤모가 여인파티의 감독이에요	서윤모	감독	여인파티	'여인파티'의 감독은(는) 누구인가요?	여인파티는 어느 감독의 작품인가요?	317	"O,O,O"
맛있는 덫 - 정사'의 감독은(는) 누구인가요?	맛있는 덫 - 정사'의 감독은(는) 신정균(이)에요.	맛있는 덫 - 정사는 누가 감독했나요?	맛있는 덫 - 정사 연출자는 신정균이에요.	신정균	감독	맛있는 덫 - 정사	맛있는 덫 - 정사'의 감독은(는) 신정균(이)에요.	맛있는 덫 - 정사 연출자는 신정균이에요.	354	"O,A,O"
수목장 (영화)'의 감독은(는) 누구인가요?	수목장 (영화)'의 감독은(는) 박광춘(이)에요.	수목장 (영화)를 총괄하고 책임진 사람은 누구인가요?	수목장 (영화)를 총괄하고 책임진 사람은 박광춘이에요.	박광춘	감독	수목장 (영화)	수목장 (영화)'의 감독은(는) 박광춘(이)에요.	수목장 (영화)를 총괄하고 책임진 사람은 박광춘이에요.	244	"X,O,O"
'키드캅'의 감독은(는) 누구인가요?	'키드캅'의 감독은(는) 이준익(이)에요.	'키드캅'을 감독한 사람이 누구예요?	'키드캅'을 감독한 사람은 이준익이에요.	이준익	감독	키드캅	'키드캅'의 감독은(는) 누구인가요?	'키드캅'을 감독한 사람이 누구예요?	557	"O,O,O"
아홉살 인생 (영화)'의 감독은(는) 누구인가요?	아홉살 인생 (영화)'의 감독은(는) 윤인호(이)에요.	누가 아홉살 인생 (영화)의 감독을 맡았나요?	아홉살 인생 (영화)의 감독을 맡은 사람은 윤인호에요.	윤인호	감독	아홉살 인생 (영화)	아홉살 인생 (영화)'의 감독은(는) 윤인호(이)에요.	아홉살 인생 (영화)의 감독을 맡은 사람은 윤인호에요.	460	"O,O,O"
'여인파티'의 감독은(는) 누구인가요?	'여인파티'의 감독은(는) 서윤모(이)에요.	여인파티는 어느 감독의 작품인가요?	서윤모가 여인파티의 감독이에요	서윤모	감독	여인파티	'여인파티'의 감독은(는) 서윤모(이)에요.	서윤모가 여인파티의 감독이에요	318	"O,O,O"
김두한과 서대문 1번지'의 감독은(는) 누구인가요?	김두한과 서대문 1번지'의 감독은(는) 이혁수(이)에요.	김두한과 서대문 1번지는 누가 찍었어요?	김두한과 서대문 1번지를 찍은 사람은 이혁수에요.	이혁수	감독	김두한과 서대문 1번지	김두한과 서대문 1번지'의 감독은(는) 이혁수(이)에요.	김두한과 서대문 1번지를 찍은 사람은 이혁수에요.	566	"A,A,O"
'오구'의 감독은(는) 누구인가요?	'오구'의 감독은(는) 이윤택(이)에요.	오구는 누가 만든작품인가요?	이윤택 감독이 오구를 만들었어요	이윤택	감독	오구	'오구'의 감독은(는) 이윤택(이)에요.	이윤택 감독이 오구를 만들었어요	534	"O,O,O"
서울의 달빛'의 감독은(는) 누구인가요?	서울의 달빛'의 감독은(는) 김문옥(이)에요.	서울의 달빛을 만든사람은 누구인가요?	김문옥감독은 서울의 달빛을 만들었어요	김문옥	감독	서울의 달빛	서울의 달빛'의 감독은(는) 김문옥(이)에요.	김문옥감독은 서울의 달빛을 만들었어요	68	"O,O,O"
'공즉시색'의 감독은(는) 누구인가요?	'공즉시색'의 감독은(는) 김현빈(이)에요.	공즉시색은 누가 감독하였나요?	김현빈은 공즉시색의 감독이에요.	김현빈	감독	공즉시색	'공즉시색'의 감독은(는) 김현빈(이)에요.	김현빈은 공즉시색의 감독이에요.	142	"O,O,O"
형님먼저 아우먼저'의 감독은(는) 누구인가요?	형님먼저 아우먼저'의 감독은(는) 심우섭(이)에요.	형님먼저 아우먼저의 감독은 누구예요?	형님먼저 아우먼저의 감독은 심우섭이예요.	심우섭	감독	형님먼저 아우먼저	형님먼저 아우먼저'의 감독은(는) 심우섭(이)에요.	형님먼저 아우먼저의 감독은 심우섭이예요.	370	"O,O,O"
'허풍'의 감독은(는) 누구인가요?	'허풍'의 감독은(는) 공자관(이)에요.	누가 허풍의 감독인가요?	공자관이 허풍의 감독이에요.	공자관	감독	허풍	'허풍'의 감독은(는) 공자관(이)에요.	공자관이 허풍의 감독이에요.	26	"O,O,O"
타워 (영화)'의 감독은(는) 누구인가요?	타워 (영화)'의 감독은(는) 김지훈 (1971년)(이)에요.	누가 영화 타워의 감독을 담당했나요?	김지훈(1971)이 영화 타워의 감독을 담당했어요.	김지훈 (1971년)	감독	타워 (영화)	타워 (영화)'의 감독은(는) 김지훈 (1971년)(이)에요.	김지훈(1971)이 영화 타워의 감독을 담당했어요.	118	"O,O,O"
서울의 달빛'의 감독은(는) 누구인가요?	서울의 달빛'의 감독은(는) 김문옥(이)에요.	서울의 달빛을 만든사람은 누구인가요?	김문옥감독은 서울의 달빛을 만들었어요	김문옥	감독	서울의 달빛	서울의 달빛'의 감독은(는) 누구인가요?	서울의 달빛을 만든사람은 누구인가요?	67	"A,O,O"
불새의 춤'의 감독은(는) 누구인가요?	불새의 춤'의 감독은(는) 강대하(이)에요.	불새의 춤'을 제작한 감독은 누구에요?	불새의 춤'을 제작한 감독은 강대하에요.	강대하	감독	불새의 춤	불새의 춤'의 감독은(는) 누구인가요?	불새의 춤'을 제작한 감독은 누구에요?	11	"O,O,O"
크리스마스에 기적을 만날 확률'의 감독은(는) 누구인가요?	크리스마스에 기적을 만날 확률'의 감독은(는) 곤 사토시(이)에요.	크리스마스에 기적을 만날 확률의 메가폰을 잡은 사람은 누구인가요?	곤 사토시 감독이 크리스마스에 기적을 만날 확률의 메가폰을 잡았어요.	곤 사토시	감독	크리스마스에 기적을 만날 확률	크리스마스에 기적을 만날 확률'의 감독은(는) 곤 사토시(이)에요.	곤 사토시 감독이 크리스마스에 기적을 만날 확률의 메가폰을 잡았어요.	24	"O,O,O"
드림팀 (2012년 영화)'의 감독은(는) 누구인가요?	드림팀 (2012년 영화)'의 감독은(는) 올리비에 다한(이)에요.	누가 영화 드림팀의 감독이에요?	올리비에 다한이 드림팀의 감독이에요.	올리비에 다한	감독	드림팀 (2012년 영화)	드림팀 (2012년 영화)'의 감독은(는) 올리비에 다한(이)에요.	올리비에 다한이 드림팀의 감독이에요.	430	"O,O,O"
밤의 요정'의 감독은(는) 누구인가요?	밤의 요정'의 감독은(는) 남기남(이)에요.	밤의 요정을 감독한 사람은 누구인가요?	남기남은 밤의 요정을 감독했어요	남기남	감독	밤의 요정	밤의 요정'의 감독은(는) 남기남(이)에요.	남기남은 밤의 요정을 감독했어요	160	"O,O,O"
연애소설 (영화)'의 감독은(는) 누구인가요?	연애소설 (영화)'의 감독은(는) 이한(이)에요.	영화 연애소설을 제작한 사람은 누구인가요?	영화 연애소설을 제작한 사람은 이한이에요.	이한	감독	연애소설 (영화)	연애소설 (영화)'의 감독은(는) 이한(이)에요.	영화 연애소설을 제작한 사람은 이한이에요.	562	"A,O,O"
죽으면 살리라'의 감독은(는) 누구인가요?	죽으면 살리라'의 감독은(는) 강대진(이)에요.	죽으면 살리라를 만든 사람은 누구인가요?	강대진은 죽으면 살리라의 감독이에요	강대진	감독	죽으면 살리라	죽으면 살리라'의 감독은(는) 누구인가요?	죽으면 살리라를 만든 사람은 누구인가요?	5	"O,O,O"
북경반점 (영화)'의 감독은(는) 누구인가요?	북경반점 (영화)'의 감독은(는) 김의석(이)에요.	어떤 사람이 북경반점 (영화)의 감독인가요?	김의석 감독이 북경반점 (영화)의 감독이에요.	김의석	감독	북경반점 (영화)	북경반점 (영화)'의 감독은(는) 김의석(이)에요.	김의석 감독이 북경반점 (영화)의 감독이에요.	104	"O,O,O"
조총련 (영화)'의 감독은(는) 누구인가요?	조총련 (영화)'의 감독은(는) 박태원(이)에요.	조총련(영화)의 감독을 누가했나요?	박태원은 조총련(영화)를 감독했어요	박태원	감독	조총련 (영화)	조총련 (영화)'의 감독은(는) 누구인가요?	조총련(영화)의 감독을 누가했나요?	285	"O,O,O"
그 남자의 책 198쪽'의 감독은(는) 누구인가요?	그 남자의 책 198쪽'의 감독은(는) 김정권(이)에요.	그 남자의 책 198쪽'은 누가 감독했나요?	그 남자의 책 198쪽'은 김정권이 감독해요	김정권	감독	그 남자의 책 198쪽	그 남자의 책 198쪽'의 감독은(는) 누구인가요?	그 남자의 책 198쪽'은 누가 감독했나요?	105	"O,O,O"
'어떤살인'의 감독은(는) 누구인가요?	'어떤살인'의 감독은(는) 안용훈(이)에요.	'어떤살인'의 모든것을 총괄한 사람은 누구인가요?	'어떤살인'의 모든것을 총괄한 사람은 안용훈 이에요	안용훈	감독	어떤살인	'어떤살인'의 감독은(는) 안용훈(이)에요.	'어떤살인'의 모든것을 총괄한 사람은 안용훈 이에요	392	"O,A,O"
7급 공무원 (영화)'의 감독은(는) 누구인가요?	7급 공무원 (영화)'의 감독은(는) 신태라(이)에요.	7급 공무원(영화)는 누가 감독을 했나요?	7급 공무원(영화)를 감독한 사람은 신태라예요.	신태라	감독	7급 공무원 (영화)	7급 공무원 (영화)'의 감독은(는) 누구인가요?	7급 공무원(영화)는 누가 감독을 했나요?	361	"O,O,O"
키위새의 겨울'의 감독은(는) 누구인가요?	키위새의 겨울'의 감독은(는) 김현명(이)에요.	'키위새의 겨울' 을 제작한 감독은 누구에요?	'키위새의 겨울'을 제작한 감독은 김현명이에요.	김현명	감독	키위새의 겨울	키위새의 겨울'의 감독은(는) 누구인가요?	'키위새의 겨울' 을 제작한 감독은 누구에요?	139	"O,O,O"
나를 찾아줘'의 감독은(는) 누구인가요?	나를 찾아줘'의 감독은(는) 데이비드 핀처(이)에요.	나를 찾아줘는 누가 감독인가요?	나를 찾아주는 데이비드 핀처가 감독이예요	데이비드 핀처	감독	나를 찾아줘	나를 찾아줘'의 감독은(는) 데이비드 핀처(이)에요.	나를 찾아주는 데이비드 핀처가 감독이예요	186	"O,O,O"
지옥화 (2014년 영화)'의 감독은(는) 누구인가요?	지옥화 (2014년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	지옥화는 누가 지휘해서 만들었나요?	지옥화를 지휘해서 만든 사람은 이상우에요.	이상우 (영화 감독)	감독	지옥화 (2014년 영화)	지옥화 (2014년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	지옥화를 지휘해서 만든 사람은 이상우에요.	508	"O,A,O"
사는 것 산다는 것 살아간다는 것'의 감독은(는) 누구인가요?	사는 것 산다는 것 살아간다는 것'의 감독은(는) 류진호(이)에요.	사는 것 산다는 것 살아간다는 것을 만든 감독의 이름은 누구일까요?	사는 것 산다는 것 살아간다는 것을 만든 감독은 류진호라고 해요.	류진호	감독	사는 것 산다는 것 살아간다는 것	사는 것 산다는 것 살아간다는 것'의 감독은(는) 누구인가요?	사는 것 산다는 것 살아간다는 것을 만든 감독의 이름은 누구일까요?	191	"O,O,O"
내 첫사랑을 너에게 바친다'의 감독은(는) 누구인가요?	내 첫사랑을 너에게 바친다'의 감독은(는) 신조 타케히코(이)에요.	"'내 첫사랑을 너에게 바친다""라는 영화는 누구의 작품인가요?"	"'내 첫사랑을 너에게 바친다""라는 영화를 감독한 사람은 신조 타케히코에요."	신조 타케히코	감독	내 첫사랑을 너에게 바친다	내 첫사랑을 너에게 바친다'의 감독은(는) 누구인가요?	"'내 첫사랑을 너에게 바친다""라는 영화는 누구의 작품인가요?"	357	"O,X,A"
반짝반짝 두근두근'의 감독은(는) 누구인가요?	반짝반짝 두근두근'의 감독은(는) 김태균(이)에요.	반짝반짝 두근두근 이라는 영화를 제작한 사람은 누구인가요?	반짝반짝 두근두근 이라는 영화를 제작한 사람은 김태균이에요.	김태균	감독	반짝반짝 두근두근	반짝반짝 두근두근'의 감독은(는) 김태균(이)에요.	반짝반짝 두근두근 이라는 영화를 제작한 사람은 김태균이에요.	130	"O,X,A"
'자귀모'의 감독은(는) 누구인가요?	자귀모'의 감독은(는) 이광훈 (1959년)(이)에요.	자귀모는 누가 만들었나요?	자귀모는 이광훈 감독이 만들었어요.	이광훈 (1959년)	감독	자귀모	'자귀모'의 감독은(는) 누구인가요?	자귀모는 누가 만들었나요?	479	"O,A,A"
땡삐 (영화)'의 감독은(는) 누구인가요?	땡삐 (영화)'의 감독은(는) 이운철(이)에요.	땡삐 (영화)의 감독은 누구예요?	땡삐 (영화)의 감독은 이운철이예요.	이운철	감독	땡삐 (영화)	땡삐 (영화)'의 감독은(는) 이운철(이)에요.	땡삐 (영화)의 감독은 이운철이예요.	518	"O,O,O"
파송송 계란탁'의 감독은(는) 누구인가요?	파송송 계란탁'의 감독은(는) 오상훈(이)에요.	'파송송 계란탁'을 연출한 사람은 누구인가요?	'파송송 계란탁'의 감독을 맡은 사람은 오상훈이에요.	오상훈	감독	파송송 계란탁	파송송 계란탁'의 감독은(는) 누구인가요?	'파송송 계란탁'을 연출한 사람은 누구인가요?	415	"O,A,O"
나를 찾아줘'의 감독은(는) 누구인가요?	나를 찾아줘'의 감독은(는) 데이비드 핀처(이)에요.	누가 나를 찾아줘의 감독인가요?	데이비드 핀처가 나를 찾아줘의 감독이예요	데이비드 핀처	감독	나를 찾아줘	나를 찾아줘'의 감독은(는) 데이비드 핀처(이)에요.	데이비드 핀처가 나를 찾아줘의 감독이예요	188	"O,O,O"
'NANA'의 감독은(는) 누구인가요?	NANA'의 감독은(는) 아사카 모리오(이)에요.	'NANA'의 감독을 맡은 사람이 누구일까요?	아사카 모리오가 NANA의 감독이에요.	아사카 모리오	감독	NANA	'NANA'의 감독은(는) 누구인가요?	'NANA'의 감독을 맡은 사람이 누구일까요?	387	"O,A,O"
'평양맨발'의 감독은(는) 누구인가요?	'평양맨발'의 감독은(는) 남기남(이)에요.	영화 평양맨발은 누가 만들었나요?	평양맨발의 감독 이름은 남기남이라고 해요	남기남	감독	평양맨발	'평양맨발'의 감독은(는) 누구인가요?	영화 평양맨발은 누가 만들었나요?	165	"O,O,O"
패션왕 (영화)'의 감독은(는) 누구인가요?	패션왕 (영화)'의 감독은(는) 오기환 (영화 감독)(이)에요.	패션왕을 지휘해서 만든 사람은 누구인가요?	패션왕을 지휘해서 만든 사람은 오기환이에요.	오기환 (영화 감독)	감독	패션왕 (영화)	패션왕 (영화)'의 감독은(는) 누구인가요?	패션왕을 지휘해서 만든 사람은 누구인가요?	409	"O,X,O"
사랑하기 좋은 날 (영화)'의 감독은(는) 누구인가요?	사랑하기 좋은 날 (영화)'의 감독은(는) 권칠인(이)에요.	사랑하기 좋은날 (영화)의 감독은 누구인가요?	사랑하기 좋은 날 (영화)의 감독은 권칠인이에요.	권칠인	감독	사랑하기 좋은 날 (영화)	사랑하기 좋은 날 (영화)'의 감독은(는) 권칠인(이)에요.	사랑하기 좋은 날 (영화)의 감독은 권칠인이에요.	38	"O,O,O"
