원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	초기작업번호	보기	작업데이터	OX작업번호	OX작업
'고다이라_구니히코'은(는) 수상내역(으)로 무엇이 있나요?	고다이라_구니히코'은(는) 수상내역(으)로 울프상이 있어요.	고다이라 구니히코는 수상내역으로 무엇이 있어요?	울프상은  고다이라 구니히코의 수상내역이예요.	울프상	수상내역	고다이라_구니히코	293	고다이라_구니히코'은(는) 수상내역(으)로 울프상이 있어요.	울프상은  고다이라 구니히코의 수상내역이예요.	2314	"O,O,O"
'게릿_버슈'의 직업은(는) 무엇인가요?	'게릿_버슈'의 직업은(는) 천문학자(이)에요.	게릿 버슈가 하는 일은 무엇인가요?	게릿 버슈는 천문학을 연구해요.	천문학자	직업	게릿_버슈	311	'게릿_버슈'의 직업은(는) 무엇인가요?	게릿 버슈가 하는 일은 무엇인가요?	2453	"A,O,O"
UCLA_데이비드_게펜_의과대학'은(는) 어느 나라에 있나요?	UCLA_데이비드_게펜_의과대학'은(는) 미국에 있어요.	어디에 UCLA 데이비드 게펜 의과대학이 있나요?	미국에 UCLA의 데이비드 게펜 의과대학이 있어요.	미국	국가	UCLA_데이비드_게펜_의과대학	341	UCLA_데이비드_게펜_의과대학'은(는) 어느 나라에 있나요?	어디에 UCLA 데이비드 게펜 의과대학이 있나요?	2695	"A,A,X"
'니즈냐야퉁구스카_강'의 발원지은(는) 어디인가요?	'니즈냐야퉁구스카_강'의 발원지은(는) 러시아(이)에요.	니즈냐야퉁구스카 강이 처음 시작한 곳은 어디인가요?	"강은 러시아에서 처음 시작되었어요,"	러시아	발원지	니즈냐야퉁구스카_강	264	'니즈냐야퉁구스카_강'의 발원지은(는) 러시아(이)에요.	"강은 러시아에서 처음 시작되었어요,"	2084	"X,X,X"
'귀스타브_코리올리'의 연구분야은(는) 무엇인가요?	'귀스타브_코리올리'의 연구분야은(는) 토목(이)에요.	귀스타브 코리올리는 어떤 것을 연구하나요?	귀스타브 코리올리가 연구하는 것은 토목이에요.	토목	연구분야	귀스타브_코리올리	307	'귀스타브_코리올리'의 연구분야은(는) 토목(이)에요.	귀스타브 코리올리가 연구하는 것은 토목이에요.	2428	"O,O,O"
'백승탁'의 유명한 작품은(는) 무엇인가요?	'백승탁'의 유명한 작품은(는) 《한국근대사학정책》(이)에요.	백승탁이 쓴 작품 중 유명한 것은 무엇이에요?	<한국근대사정책>은 백승탁의 유명한 작품이에요.	《한국근대사학정책》	유명한 작품	백승탁	414	'백승탁'의 유명한 작품은(는) 무엇인가요?	백승탁이 쓴 작품 중 유명한 것은 무엇이에요?	3269	"O,O,O"
'니즈냐야퉁구스카_강'의 발원국은(는) 어디인가요?	'니즈냐야퉁구스카_강'의 발원국은(는) 러시아(이)에요.	'니즈냐야퉁구스카 강'이 시작되는 나라는 어느 곳인가요?	러시아가 '니즈냐야퉁구스카 강'의 발원국이에요	러시아	발원국	니즈냐야퉁구스카_강	256	'니즈냐야퉁구스카_강'의 발원국은(는) 러시아(이)에요.	러시아가 '니즈냐야퉁구스카 강'의 발원국이에요	2020	"O,O,O"
'1998년_동계_올림픽'의 참가선수은(는) 얼마나 되나요?	'1998년_동계_올림픽'의 참가선수은(는) 2176명(이)에요.	1998년 동계 올림픽은 몇명의 선수가 참가했나요?	2176명이 1990년 동계 올림픽의 참가선수예요.	2176명	참가선수	1998년_동계_올림픽	188	'1998년_동계_올림픽'의 참가선수은(는) 2176명(이)에요.	2176명이 1990년 동계 올림픽의 참가선수예요.	1484	"O,X,O"
김두종_(의학자)'은(는) 수상내역으로 무엇이 있나요?	김두종_(의학자)'은(는) 수상내역으로 대한민국_학술원이(가) 있어요.	김두종 의학자의 수상내역이 어떻게 되나요?	김두종 의학자가 수상한 내역에는 대한민국 학술원이 있어요.	대한민국_학술원	수상내역	김두종_(의학자)	408	김두종_(의학자)'은(는) 수상내역으로 무엇이 있나요?	김두종 의학자의 수상내역이 어떻게 되나요?	3221	"O,O,O"
'데니스_설리번'의 직업은(는) 무엇인가요?	'데니스_설리번'의 직업은(는) 수학자(이)에요.	데니스 설리번은 무슨 일을 했나요?	데니스 설리번의 업무는 수학자에요.	수학자	직업	데니스_설리번	315	'데니스_설리번'의 직업은(는) 무엇인가요?	데니스 설리번은 무슨 일을 했나요?	2487	"A,O,O"
'구_요도_강'의 길이은(는) 얼마인가요?	'구_요도_강'의 길이은(는) 13.83km(이)에요.	구 요도 강의 km는 얼마인가요?	구 요도 강은 13.83km에요.	13.83km	길이	구_요도_강	242	'구_요도_강'의 길이은(는) 13.83km(이)에요.	구 요도 강은 13.83km에요.	1908	"O,O,O"
가수왕'은(는) 어느 나라 영화인가요?	가수왕'은(는) 대한민국의 영화예요.	'가수왕'은 어느 국가에서 제작된 영화인가요?	'가수왕'은 대한민국에서 제작된 영화예요	대한민국	국가	가수왕	24	가수왕'은(는) 대한민국의 영화예요.	'가수왕'은 대한민국에서 제작된 영화예요	188	"O,O,O"
'나를_찾아줘'의 관객수은(는) 얼마나 되나요?	'나를_찾아줘'의 관객수은(는) 1764233명(이)에요.	영화 나를 찾아줘의 어느정도의 관객수가 있었나요?	영화 나를 찾아줘의 관객은 1764233명이에요.	1764233명	관객수	나를_찾아줘	12	'나를_찾아줘'의 관객수은(는) 얼마나 되나요?	영화 나를 찾아줘의 어느정도의 관객수가 있었나요?	93	"O,X,O"
귀스타브_코리올리'은(는) 어디 소속인가요?	귀스타브_코리올리' 에콜_폴리테크니크 소속이에요.	귀스타브 코리올리가 소속한 곳은 어디인가요?	귀스타브 코리올리는 에콜 폴리테크니크에 소속되어 있어요.	에콜_폴리테크니크	소속	귀스타브_코리올리	283	귀스타브_코리올리'은(는) 어디 소속인가요?	귀스타브 코리올리가 소속한 곳은 어디인가요?	2233	"X,O,O"
'녹스빌'의 면적은(는) 얼마나 되나요?	'녹스빌'의 면적은(는) 254km^2(이)에요.	녹스빌은 넓이는 얼마인가요?	녹스빌은 254km^2에요.	254km^2	면적	녹스빌	204	'녹스빌'의 면적은(는) 254km^2(이)에요.	녹스빌은 254km^2에요.	1608	"X,O,O"
1998년_동계_올림픽'의 개최 도시은(는) 어디인가요?	1998년_동계_올림픽'의 개최 도시은(는) 나가노_시(이)에요.	1998년 동계 올림픽은 어디서 개최했나요?	1998년 동계 올림픽은 나가노 시에서 개최되었어요.	나가노_시	개최 도시	1998년_동계_올림픽	151	1998년_동계_올림픽'의 개최 도시은(는) 어디인가요?	1998년 동계 올림픽은 어디서 개최했나요?	1187	"O,O,O"
김성일_(1948년)'의 생일은(는) 언제인가요?	'김성일_(1948년)'의 생일은(는) 1948-08-24(이)에요.	언제가 김성일_(1948년)의 탄생일인가요?	1948-08-24가 김성일_(1948년)의 탄생일이에요.	1948.8.24	생일	김성일_(1948년)	84	김성일_(1948년)'의 생일은(는) 언제인가요?	언제가 김성일_(1948년)의 탄생일인가요?	671	"O,O,O"
'나일_강'의 발원국은(는) 어디인가요?	'나일_강'의 발원국은(는) 르완다(이)에요.	나일 강은 어느 나라에서 시작되었나요?	나일 강은 르완다에서 시작해요.	르완다	발원국	나일_강	254	'나일_강'의 발원국은(는) 어디인가요?	나일 강은 어느 나라에서 시작되었나요?	2001	"O,O,O"
'니즈냐야퉁구스카_강'의 발원지은(는) 어디인가요?	'니즈냐야퉁구스카_강'의 발원지은(는) 러시아(이)에요.	니즈냐야퉁구스카 강이 처음 시작한 곳은 어디인가요?	"강은 러시아에서 처음 시작되었어요,"	러시아	발원지	니즈냐야퉁구스카_강	264	'니즈냐야퉁구스카_강'의 발원지은(는) 어디인가요?	니즈냐야퉁구스카 강이 처음 시작한 곳은 어디인가요?	2083	"O,O,O"
마이클_셰이본'은(는) 수상내역으로 무엇이 있나요?	마이클_셰이본'은(는) 수상내역으로 네뷸러상이(가) 있어요.	마이클 셰이본이 수상한 상에는 어떤 것이 있나요?	수상내역으로 네뷸러상이 있어요.	네뷸러상	수상내역	마이클_셰이본	405	마이클_셰이본'은(는) 수상내역으로 무엇이 있나요?	마이클 셰이본이 수상한 상에는 어떤 것이 있나요?	3199	"O,O,O"
김태영_(1949년)'의 생일은(는) 언제인가요?	'김태영_(1949년)'의 생일은(는) 1949-01-13(이)에요.	1949년 김태영은 생일이 어떻게되요?	1949-01-13은 김태영의 생일이예요.	1949.1.13	생일	김태영_(1949년)	86	'김태영_(1949년)'의 생일은(는) 1949-01-13(이)에요.	1949-01-13은 김태영의 생일이예요.	684	"O,O,O"
'경기대학교'의 표어은(는) 무엇인가요?	"'경기대학교'의 표어은(는) 사회와 국가를 사랑하고 봉사하는 대학건설""(이)에요."	경기대학교를 나타내는 문구가 무엇인가요?	경기대학교에는 사회와 국가를 사랑하고 봉사하는 대학건설이라는 표어가 있어요.	"사회와 국가를 사랑하고 봉사하는 대학건설"""	표어	경기대학교	398	"'경기대학교'의 표어은(는) 사회와 국가를 사랑하고 봉사하는 대학건설""(이)에요."	경기대학교에는 사회와 국가를 사랑하고 봉사하는 대학건설이라는 표어가 있어요.	3140	"O,O,O"
'이환경_(작가)'의 종교은(는) 무엇인가요?	'이환경_(작가)'의 종교은(는) 개신교(이)에요.	이환경 이라는 작가는 어떠한 종교를 가지고 있나요?	이환경작가는 개신교라는 종교를 믿고 있어요.	개신교	종교	이환경_(작가)	436	'이환경_(작가)'의 종교은(는) 무엇인가요?	이환경 이라는 작가는 어떠한 종교를 가지고 있나요?	3447	"O,O,O"
3일낮_3일밤'은(는) 어느 나라 영화인가요?	3일낮_3일밤'은(는) 대한민국의 영화예요.	'3일낮 3일밤'은 어느 국가에서 제작된 영화인가요?	'3일낮 3일밤'은 대한민국에서 제작된 영화예요	대한민국	국가	3일낮_3일밤	21	3일낮_3일밤'은(는) 대한민국의 영화예요.	'3일낮 3일밤'은 대한민국에서 제작된 영화예요	162	"O,A,O"
나이아가라온더레이크'은(는) 어느 나라에 있나요?	나이아가라온더레이크'은(는) 캐나다에 있어요.	나이아가라온더레이크가 있는 곳은 어디인가요?	나이아가라온더레이크는 캐나다에 속해 있는 도시에요.	캐나다	국가	나이아가라온더레이크	192	나이아가라온더레이크'은(는) 어느 나라에 있나요?	나이아가라온더레이크가 있는 곳은 어디인가요?	1515	"O,O,O"
'로아_강'의 길이은(는) 얼마인가요?	'로아_강'의 길이은(는) 440km(이)에요.	로아 강의 길이는 몇 km인가요?	로아 강의 길이는 440km라고 해요.	440km	길이	로아_강	249	'로아_강'의 길이은(는) 440km(이)에요.	로아 강의 길이는 440km라고 해요.	1968	"O,O,O"
'게오르크_루트비히_폰_트라프'은(는) 수상내역(으)로 무엇이 있나요?	게오르크_루트비히_폰_트라프'은(는) 수상내역(으)로 마리아_테레지아_군사훈장이(가) 있어요.	무엇이 게오르크 루트비히 폰 트라프의 수상내역이예요?	마리아 테레지아 군사훈장이 게오르크 루트비히 폰 트라프의 수상내역이예요.	마리아_테레지아_군사훈장	수상내역	게오르크_루트비히_폰_트라프	92	게오르크_루트비히_폰_트라프'은(는) 수상내역(으)로 마리아_테레지아_군사훈장이(가) 있어요.	마리아 테레지아 군사훈장이 게오르크 루트비히 폰 트라프의 수상내역이예요.	736	"O,O,O"
'고다이라_구니히코'은(는) 수상내역(으)로 무엇이 있나요?	고다이라_구니히코'은(는) 수상내역(으)로 울프상이 있어요.	고다이라 구니히코는 어떤 수상경력을 가지고 있나요?	고다이라 구니히코는 울프상을 가지고 있어요.	울프상	수상내역	고다이라_구니히코	293	고다이라_구니히코'은(는) 수상내역(으)로 울프상이 있어요.	고다이라 구니히코는 울프상을 가지고 있어요.	2310	"O,O,O"
강병일'은(는) 어디에서 복무했나요?	강병일'의 일제_강점기_조선에서 복무했어요.	강병일의 복무지는 어디인가요?	강병일의 복무지는 일제 강점기 조선이에요.	일제_강점기_조선	복무	강병일	79	강병일'은(는) 어디에서 복무했나요?	강병일의 복무지는 어디인가요?	627	"O,O,O"
'김영옥_(군인)'은(는) 수상내역(으)로 무엇이 있나요?	김영옥_(군인)'은(는) 수상내역(으)로 은성훈장이(가) 있어요.	김영옥은 무슨 상을 받았나요?	김영옥은 은성훈장을 받았어요.	은성훈장	수상내역	김영옥_(군인)	100	김영옥_(군인)'은(는) 수상내역(으)로 은성훈장이(가) 있어요.	김영옥은 은성훈장을 받았어요.	794	"O,O,O"
'게이오기주쿠_대학'의 표어은(는) 무엇인가요?	'게이오기주쿠_대학'의 표어은(는) 펜은 칼보다 강하다(이)에요.	게이오기주쿠 대학은 어떤 표어를 쓰나요?	펜은 칼보다 강하다가 게이오기주쿠 대학의 표어에요.	펜은 칼보다 강하다	표어	게이오기주쿠_대학	396	'게이오기주쿠_대학'의 표어은(는) 펜은 칼보다 강하다(이)에요.	펜은 칼보다 강하다가 게이오기주쿠 대학의 표어에요.	3128	"O,O,O"
'고든_무어'은(는) 수상내역(으)로 무엇이 있나요?	고든_무어'은(는) 수상내역(으)로 컴퓨터_역사_박물관이 있어요.	고든 무어가 받은 상은 무엇으로 받았나요?	고든 무어가 받은 상은 컴퓨터 역사 박물관으로 받았어요.	컴퓨터_역사_박물관	수상내역	고든_무어	296	고든_무어'은(는) 수상내역(으)로 컴퓨터_역사_박물관이 있어요.	고든 무어가 받은 상은 컴퓨터 역사 박물관으로 받았어요.	2336	"O,X,X"
서병후'의 출생지는 어디인가요?	서병후'의 출생지는 경성부(이)에요.	서병후는 어디에서 태어났나요?	서병후는 경성부에서 태어났어요.	경성부	출생지	서병후	448	서병후'의 출생지는 어디인가요?	서병후는 어디에서 태어났나요?	3541	"O,O,O"
'디트로이트'의 인구은(는) 얼마나 되나요?	'디트로이트'의 인구은(는) 681090명(이)에요.	디트로이트에 사는 사람은 몇명인가요?	디트로이트에는 681090명이 살고 있어요.	681090명	인구	디트로이트	228	'디트로이트'의 인구은(는) 얼마나 되나요?	디트로이트에 사는 사람은 몇명인가요?	1795	"O,O,O"
'1988년_동계_올림픽'의 개회선언은(는) 누가 했나요?	1988년_동계_올림픽'의 개회선언은(는) 잔_마틸드_소베이(가) 했어요.	1988년 동계 올림픽에서 개회선언을 한 사람은 누구인가요?	잔 마틸드 소베이가 1988년 동계 올림픽의 개회 선언자에요.	잔_마틸드_소베	개회선언	1988년_동계_올림픽	149	1988년_동계_올림픽'의 개회선언은(는) 잔_마틸드_소베이(가) 했어요.	잔 마틸드 소베이가 1988년 동계 올림픽의 개회 선언자에요.	1170	"O,O,O"
'도루_강'의 길이은(는) 얼마인가요?	'도루_강'의 길이은(는) 897km(이)에요.	도루강의 길이는 얼마쯤 인가요?	도루강은 900km 정도 길이의 강이에요.	897km	길이	도루_강	246	'도루_강'의 길이은(는) 897km(이)에요.	도루강은 900km 정도 길이의 강이에요.	1944	"O,A"
'김빛내리'의 연구분야은(는) 무엇인가요?	'김빛내리'의 연구분야은(는) 생화학(이)에요.	김빛내리가 연구하는 분야는 무엇이에요?	김빛내리가 연구하는 분야는 생화학이에요.	생화학	연구분야	김빛내리	309	'김빛내리'의 연구분야은(는) 무엇인가요?	김빛내리가 연구하는 분야는 무엇이에요?	2437	"O,O,O"
'김두종_(의학자)'의 종교은(는) 무엇인가요?	'김두종_(의학자)'의 종교은(는) 개신교(이)에요.	김두종 (의학자)의 종고는 무엇인가요?	김두종(의학자)은 종교가 개신교이지요.	개신교	종교	김두종_(의학자)	432	'김두종_(의학자)'의 종교은(는) 개신교(이)에요.	김두종(의학자)은 종교가 개신교이지요.	3412	"O,O,O"
까오_반_비엔'의 생일은(는) 언제인가요?	'까오_반_비엔'의 생일은(는) 1921-12-21(이)에요.	까오 반 비엔이 태어난 날은 언제 인가요?	까오판 비엔은 1921-12-21에 태어났어요	1921.12.21	생일	까오_반_비엔	87	까오_반_비엔'의 생일은(는) 언제인가요?	까오 반 비엔이 태어난 날은 언제 인가요?	691	"O,O,O"
'구_요도_강'의 발원지은(는) 어디인가요?	'구_요도_강'의 발원지은(는) 게마 수문(이)에요.	'구 요도 강'이 시작되는 곳은 어디인가요?	'구 요도 강'이 시작되는 곳은 게마 수문이에요.	게마 수문	발원지	구_요도_강	262	'구_요도_강'의 발원지은(는) 게마 수문(이)에요.	'구 요도 강'이 시작되는 곳은 게마 수문이에요.	2070	"O,O,O"
'건국대학교'의 표어은(는) 무엇인가요?	'건국대학교'의 표어은(는) 성·신·의(이)에요.	건국대학교는 어떤 구호를 가지고 있나요?	건국대학교의 슬로건은 성.신.의에요.	성·신·의	표어	건국대학교	394	'건국대학교'의 표어은(는) 무엇인가요?	건국대학교는 어떤 구호를 가지고 있나요?	3111	"O,X,O"
'강문봉'의 참가한 전투은(는) 무엇인가요?	'강문봉'의 참가한 전투은(는) 한국_전쟁(이)에요.	강문봉은 어떤 전투에 참가했나요?	강문봉이 참전한 전투는 한국전쟁이에요.	한국_전쟁	참가한 전투	강문봉	113	'강문봉'의 참가한 전투은(는) 무엇인가요?	강문봉은 어떤 전투에 참가했나요?	901	"O,O,O"
강근호'은(는) 어디에서 복무했나요?	강근호'의 대한제국에서 복무했어요.	어디서 강근호가 복무했어요?	대한제국에서 강근호가 복무했어요.	대한제국	복무	강근호	75	강근호'은(는) 어디에서 복무했나요?	어디서 강근호가 복무했어요?	595	"O,O,O"
'귀스타브_코리올리'의 연구분야은(는) 무엇인가요?	'귀스타브_코리올리'의 연구분야은(는) 토목(이)에요.	귀스타브 코리올리가 연구하는 것은 어떤 것인가요?	귀스타브 코리올리는 토목을 연구해요.	토목	연구분야	귀스타브_코리올리	307	'귀스타브_코리올리'의 연구분야은(는) 토목(이)에요.	귀스타브 코리올리는 토목을 연구해요.	2426	"O,O,O"
'NANA'의 개봉 시기은(는) 언제인가요?	'NANA'의 개봉 시기은(는) 2005년(이)에요.	NANA가 상영하기 시작한 때는 언제인가요?	NANA가 개봉한 시기는 2005년이에요.	2005년	개봉 시기	NANA	5	'NANA'의 개봉 시기은(는) 2005년(이)에요.	NANA가 개봉한 시기는 2005년이에요.	40	"O,O,O"
'강감찬'의 참가한 전투은(는) 무엇인가요?	'강감찬'의 참가한 전투은(는) 귀주대첩(이)에요.	어떤 전투에 강감찬이 참전했나요?	귀주대첩이 강감찬이 참가한 전투에요.	귀주대첩	참가한 전투	강감찬	111	'강감찬'의 참가한 전투은(는) 무엇인가요?	어떤 전투에 강감찬이 참전했나요?	887	"O,O,O"
'구_요도_강'의 발원지은(는) 어디인가요?	'구_요도_강'의 발원지은(는) 게마 수문(이)에요.	구 요도 강은 어디서 시작하나요?	게마 수문이 구 요도 강의 발원지에요.	게마 수문	발원지	구_요도_강	262	'구_요도_강'의 발원지은(는) 게마 수문(이)에요.	게마 수문이 구 요도 강의 발원지에요.	2068	"O,O,O"
'권동진'의 직업은(는) 무엇인가요?	'권동진'의 직업은(는) 종교인(이)에요.	권동진이 하는 일은 무엇인가요?	권동진은 종교인을 하고 있어요.	종교인	직업	권동진	108	'권동진'의 직업은(는) 무엇인가요?	권동진이 하는 일은 무엇인가요?	863	"O,O,O"
"'DMZ,_비무장지대'의 개봉 시기은(는) 언제인가요?"	"'DMZ,_비무장지대'의 개봉 시기은(는) 2004년(이)에요."	"언제 'DMZ, 비무장지대'가 개봉되었나요?"	"'DMZ, 비무장지대'이 개봉된 때는 2004년이에요."	2004년	개봉 시기	"DMZ,_비무장지대"	4	"'DMZ,_비무장지대'의 개봉 시기은(는) 2004년(이)에요."	"'DMZ, 비무장지대'이 개봉된 때는 2004년이에요."	26	"O,O,O"
'리오그란데_강'의 길이은(는) 얼마인가요?	'리오그란데_강'의 길이은(는) 3051km(이)에요.	리오그란데 강은 얼마나 긴가요?	리오그란데 강은 3051km에요.	3051km	길이	리오그란데_강	250	'리오그란데_강'의 길이은(는) 얼마인가요?	리오그란데 강은 얼마나 긴가요?	1969	"O,O,O"
게오르크_루트비히_폰_트라프'의 생일은(는) 언제인가요?	'게오르크_루트비히_폰_트라프'의 생일은(는) 1880-04-04(이)에요.	게오르크 루트비히 폰 트라프가 태어난 날은 언제인가요?	게오르크 루트비히 폰 트라프는 1880-04-04에 태어났어요.	1880-04-04	생일	게오르크_루트비히_폰_트라프	83	'게오르크_루트비히_폰_트라프'의 생일은(는) 1880-04-04(이)에요.	게오르크 루트비히 폰 트라프는 1880-04-04에 태어났어요.	662	"O,O,O"
가이_칼튼'의 출생지은(는) 어디인가요?	'가이_칼튼'의 출생지은(는) 아일랜드_섬(이)에요.	가이 칼튼이 태어난 곳은 어디인가요?	가이 칼튼이 태어난 곳은 아일랜드 섬이에요.	아일랜드_섬	출생지	가이_칼튼	132	'가이_칼튼'의 출생지은(는) 아일랜드_섬(이)에요.	가이 칼튼이 태어난 곳은 아일랜드 섬이에요.	1036	"O,O,O"
'그단스크'의 별명은(는) 무엇인가요?	'그단스크'의 별명은(는) 단치히(이)에요.	그단스크는 무슨 별명을 갖고 있나요?	단치히는 그단스크의 별명이예요.	단치히	별명	그단스크	211	'그단스크'의 별명은(는) 단치히(이)에요.	단치히는 그단스크의 별명이예요.	1666	"O,O,O"
강근호'은(는) 어디에서 복무했나요?	강근호'의 조선에서 복무했어요.	강근호는 어디에서 복무를 하였나요?	강근호는 복무를 조선에서 했어요	조선	복무	강근호	76	강근호'의 조선에서 복무했어요.	강근호는 복무를 조선에서 했어요	608	"O,O,O"
나일_강'은(는) 어디에 있나요?	나일_강'은(는) 남수단에 있어요.	나일 강은 어디에서 흐르나요?	나일 강은 남수단에서 흘러요.	남수단	국가	나일_강	234	나일_강'은(는) 어디에 있나요?	나일 강은 어디에서 흐르나요?	1843	"O,O,O"
'고든_무어'은(는) 수상내역(으)로 무엇이 있나요?	고든_무어'은(는) 수상내역(으)로 대통령_자유_훈장이 있어요.	고든 무어는 어떤 내역으로 수상을 했나요?	고든 무어는 대통령 자유 훈장 내역으로 수상을 했어요.	대통령_자유_훈장	수상내역	고든_무어	295	고든_무어'은(는) 수상내역(으)로 대통령_자유_훈장이 있어요.	고든 무어는 대통령 자유 훈장 내역으로 수상을 했어요.	2326	"O,X,O"
'강근호'의 최종계급은(는) 무엇인가요?	'강근호'의 최종계급은(는) 북로군정서 제1중대장(이)에요.	강근호가 마지막에 어느 계급이었어요?	강근호는 최후에 북로군정서 제1중대장이었어요.	북로군정서 제1중대장	최종계급	강근호	124	'강근호'의 최종계급은(는) 북로군정서 제1중대장(이)에요.	강근호는 최후에 북로군정서 제1중대장이었어요.	982	"X,A,O"
남창희_(물리학자)'은(는) 어디 소속인가요?	남창희_(물리학자)' 광주과학기술원 소속이에요.	남창희 물리학자는 어디 소속이예요?	광주과학기술원은 남창희 물리학자의 소속이예요.	광주과학기술원	소속	남창희_(물리학자)	286	남창희_(물리학자)'은(는) 어디 소속인가요?	남창희 물리학자는 어디 소속이예요?	2253	"O,O,O"
건양대학교'은(는) 어느 나라에 있나요?	건양대학교'은(는) 대한민국에 있어요.	'건양대학교'는 어느 나라의 대학교인가요?	'건양대학교'는 대한민국에 있는 대학교예요	대한민국	국가	건양대학교	350	건양대학교'은(는) 어느 나라에 있나요?	'건양대학교'는 어느 나라의 대학교인가요?	2765	"O,O,O"
'2016년_동계_청소년_올림픽'의 참가국은(는) 얼마나 되나요?	'2016년_동계_청소년_올림픽'의 참가국은(는) 71개국(이)에요.	2016년 동계 청소년 올림픽의 참가국은 총 몇개국인가요?	71개국이 2016년 동계 청소년 올림픽에 참가했어요.	71개국	참가국	2016년_동계_청소년_올림픽	180	'2016년_동계_청소년_올림픽'의 참가국은(는) 얼마나 되나요?	2016년 동계 청소년 올림픽의 참가국은 총 몇개국인가요?	1417	"O,O,O"
'라플라타_강'의 발원국은(는) 어디인가요?	'라플라타_강'의 발원국은(는) 아르헨티나(이)에요.	라플라타 강이 시작하는 나라는 어디인가요?	라플라타 강이 시작하는 나라는 아르헨티나에요.	아르헨티나	발원국	라플라타_강	260	'라플라타_강'의 발원국은(는) 아르헨티나(이)에요.	라플라타 강이 시작하는 나라는 아르헨티나에요.	2056	"O,O,O"
'가이_칼튼'은(는) 기타이력(으)로 무엇이 있나요?	가이_칼튼'은(는) 기타이력(으)로 퀘벡 주지사이(가) 있어요.	가이 칼튼의 기타이력은 무엇인가요?	가이 칼튼의 기타이력은 퀘벡 주지사에요.	퀘벡 주지사	기타이력	가이_칼튼	61	'가이_칼튼'은(는) 기타이력(으)로 무엇이 있나요?	가이 칼튼의 기타이력은 무엇인가요?	481	"O,O,O"
덴버'은(는) 어느 나라에 있나요?	덴버'은(는) 미국에 있어요.	덴버라는 도시는 어느 나라에 소속되어 있나요?	미국에는 덴버가 있어요.	미국	국가	덴버	198	덴버'은(는) 어느 나라에 있나요?	덴버라는 도시는 어느 나라에 소속되어 있나요?	1561	"O,O,O"
구_요도_강'은(는) 어디에 있나요?	구_요도_강'은(는) 일본에 있어요.	구 요도 강의 위치가 궁금해요.	구 요도 강은 일본에 위치하고 있어요.	일본	국가	구_요도_강	233	구_요도_강'은(는) 어디에 있나요?	구 요도 강의 위치가 궁금해요.	1837	"O,A,O"
게릿_버슈'의 출신대학은 어디인가요?	게릿_버슈'의 출신대학은 맨체스터_대학교(이)에요.	게릿 버슈는 어느 대학 출신인가요?	게릿 버슈는 맨체스터 대학교 출신이에요.	맨체스터_대학교	출신대학	게릿_버슈	334	게릿_버슈'의 출신대학은 어디인가요?	게릿 버슈는 어느 대학 출신인가요?	2633	"O,O,O"
'시월애'의 관객수은(는) 얼마나 되나요?	'시월애'의 관객수은(는) 248597명(이)에요.	시월애를 본 관객의 수는 얼마인가요?	시월애는 248597명의 관객을 동원했어요.	248597명	관객수	시월애	18	'시월애'의 관객수은(는) 248597명(이)에요.	시월애는 248597명의 관객을 동원했어요.	144	"O,O,O"
'니즈냐야퉁구스카_강'의 발원지은(는) 어디인가요?	'니즈냐야퉁구스카_강'의 발원지은(는) 중앙_시베리아_고원(이)에요.	니즈냐야퉁구스카 강은 어디서 시작되나요?	중앙 시베리아 고원이 니즈냐야퉁구스카 강의 발원지에요.	중앙_시베리아_고원	발원지	니즈냐야퉁구스카_강	265	'니즈냐야퉁구스카_강'의 발원지은(는) 어디인가요?	니즈냐야퉁구스카 강은 어디서 시작되나요?	2091	"O,O,O"
강원대학교'은(는) 어느 나라에 있나요?	강원대학교'은(는) 대한민국에 있어요.	강원대학교가 있는 국가는 어디인가요?	강원대학교가 있는 나라는 대한민국이에요.	대한민국	국가	강원대학교	346	강원대학교'은(는) 어느 나라에 있나요?	강원대학교가 있는 국가는 어디인가요?	2729	"O,O,O"
'건국대학교'의 표어은(는) 무엇인가요?	'건국대학교'의 표어은(는) 성·신·의(이)에요.	건국대학교의 슬로건은 무엇인가요?	건국대학교는 성.신.의라는 구호를 가지고 있어요.	성·신·의	표어	건국대학교	394	'건국대학교'의 표어은(는) 무엇인가요?	건국대학교의 슬로건은 무엇인가요?	3109	"O,O,O"
강근호'은(는) 어디에서 복무했나요?	강근호'의 조선에서 복무했어요.	강근호은(는) 어디에서 근무하였나요?	강근호은(는) 조선에서 근무했어요.	조선	복무	강근호	76	강근호'의 조선에서 복무했어요.	강근호은(는) 조선에서 근무했어요.	604	"X,X,O"
나카야마_다다시'의 출신대학은 어디인가요?	나카야마_다다시'의 출신대학은 도쿄_대학(이)에요.	나카야마 다다시는 어느 대학을 졸업했어요?	나카야마 다다시가 졸업한 대학은 도쿄 대학이에요.	도쿄_대학	출신대학	나카야마_다다시	336	나카야마_다다시'의 출신대학은 도쿄_대학(이)에요.	나카야마 다다시가 졸업한 대학은 도쿄 대학이에요.	2650	"O,O,O"
